channel,raw_text
email,您好，提单号MSCU778123456的货原定28号从宁波开船，现在船司通知延误了，客户那边催得急，麻烦帮忙查下最新的船期和预计到港时间。
wechat,在吗，急！TCLU5558321这个柜子明天截关，拖车还没约到，麻烦赶紧帮忙安排拖车，不然就赶不上这水船了。
email,我们的货在洛杉矶海关被查验了，提单号COSU664512345，说要核对申报要素，现在扣货了，客户非常着急，需要我们提供什么资料？
phone,客户来电：查一下账单，提单号MAEU881234567这票上个月好像多收了文件费，报价里没有这一项，请核实退差价。
wechat,帮个忙，CBHU7712345的货到了三天还没上架，电商客户等着发货，能不能今天安排入库？
email,从青岛到汉堡的船期最近延误吗？我们有一票货提单号HLCU335678912还没到港，客户天天催，帮忙催下船公司给个ETA。
email,您好，请把提单号OOLU996543211这票的清关资料发我们核对一下，另外税单什么时候能出？客户等着做抵扣。
wechat,下周一有一批货进仓，大概30个托盘，帮忙预约入库，另外有几箱需要重新贴标，费用怎么算？
phone,客户来电投诉：说好的免箱期21天，怎么第14天就开始收滞箱费了？请马上核实免箱期记录，多收的费用要退。
email,麻烦改单：提单号EMCS447123456，收货人地址写错了，需要更正提单上的通知人地址，改单费我们承担，明天要用，拜托加急。
wechat,问下这票EMCS447123456的柜子还了吗？租箱那边还在计费，如果还了把还柜单发我。
email,您好，我们想咨询下上海到迪拜的运价，40HQ一个，含拖车报关的门到门价格，最近一周有船期吗？
