channel,raw_text
wechat,这票HLCU9747421460的海关查验费和滞港费，是因为申报要素不完整导致的，这个费用应该我们出还是货代出？另外帮忙看看能不能申请快速放行。
email,帮我看下提单HLCU411570307对应的货进了多少件数，和我们的装箱单差了12箱，是不是少收了？需要你们仓库盘点确认下。
email,EMCS9989235814这票目的港代理说找不到舱单信息，让核对提单号和船名航次，请尽快和船司确认是不是舱单没发送，急等。
email,客户来电：仓库里的货要打出库单，系统显示待拣货状态三天了一直没动，问一下拣货排队要多久，能不能今天出。
wechat,客户来电：问下宁波出口的木托盘是不是要做熏蒸消毒？我们没做熏蒸直接装柜了，会不会在口岸被查？现在柜子还没进港，还来得及处理吗？
email,您好，我司一批货（提单号COSU1636778950）已于昨日到仓，但截至目前库存系统里仍查不到入库记录，仓库也回复说找不到货位，麻烦尽快核实入库状态并回复，客户等着发货。
email,问下TEMU1649691这个柜子还柜了吗？系统显示租箱公司还在计费，如果已经还场请把还柜单发我一份。
email,客户来电：仓库里的货要打出库单，系统显示待拣货状态三天了一直没动，问一下拣货排队要多久，能不能今天出。
email,今天下午到库的SEGU4188992柜货，外包装有几箱明显破损，请安排验货拍照留底，先不要上架，等我们确认处理方式。
email,急！EMCS8349648005的柜子GHCU6038571还在场站没提出来，拖车约了明天早上装货，再提不到柜子就赶不上截关了，麻烦赶紧协调。
wechat,麻烦帮我改单：提单号HLCU9437376324，目的港收货人公司名称打错了一个字母，需要把提单上的收货人更正过来，费用我们承担，今天能改好吗？
email,你们的客服邮箱是不是换了？之前发的邮件被退回了，麻烦确认下最新的联系方式和值班时间。
email,请问你们的系统对接方式有哪些？我们想了解下能不能和我们的ERP做数据对接，另外有没有操作培训资料？
email,请问你们的系统对接方式有哪些？我们想了解下能不能和我们的ERP做数据对接，另外有没有操作培训资料？
phone,请问你们的账单多久出一期？付款后水单发到哪个邮箱？另外能不能把汇率和费用单价在账单备注里写清楚，方便我们财务对账。
email,麻烦帮我改单：提单号HLCU3080491761，目的港收货人公司名称打错了一个字母，需要把提单上的收货人更正过来，费用我们承担，今天能改好吗？
phone,我们想下周三订一个40HQ从青岛出运到长滩，是2类危险品，请问危险品舱位好订吗？需要提前多少天订舱？
wechat,我们在厦门有一批货要发东京，20GP一个，想问下最近一周的船期和运价，另外需要含拖车和报关的门到门报价。
wechat,今天下午到库的TEMU1325197柜货，外包装有几箱明显破损，请安排验货拍照留底，先不要上架，等我们确认处理方式。
email,您好，提单号OOLU754477195这票货原计划09月12日从厦门开船，但船公司通知舱位被甩了，现在客户催得紧，请帮忙确认最近的船期，或者看看有没有其他船司可以订舱。
email,您好，核对贵司上月账单时发现提单号COSU6006898409多收了THC费：报价是USD210，账单上开了USD335，请核实并退回多收部分，否则这笔款我们暂缓支付。
wechat,急！OOLU7176144396的柜子TEMU2770648还在场站没提出来，拖车约了明天早上装货，再提不到柜子就赶不上截关了，麻烦赶紧协调。
wechat,请问清关大概需要几个工作日？客户问提单号HLCU5547717367这票什么时候能提货，海关那边还需要补充什么单证吗？
phone,下周三上午有一批从上海发来的货要进仓，大概17个托盘、12箱，麻烦帮忙预约入库时间，另外这批货需要重新贴标后再上架，贴标费用麻烦提前确认一下。
wechat,麻烦帮我改单：提单号EMCS7452307139，目的港收货人公司名称打错了一个字母，需要把提单上的收货人更正过来，费用我们承担，今天能改好吗？
email,帮我看下COSU7413706299的报关单退税率是多少，品名是铝合金型材，客户说要按13%退税，我们不确定归类对不对，帮忙核一下。
wechat,想了解一下你们公司能不能做保税区仓储和转口贸易相关的服务，我们有新项目想找长期合作伙伴，方便约个时间详聊吗？
phone,帮我看下提单EMCS4154834021对应的货进了多少件数，和我们的装箱单差了20箱，是不是少收了？需要你们仓库盘点确认下。
email,第一次从青岛口岸出口，想确认下报关需要的全套资料：我们准备了装箱单、商业发票和报关草单，报关委托书是电子的还是要纸质盖章？HS编码5748.76，麻烦帮忙确认归类有没有问题。
email,请问你们的账单多久出一期？付款后水单发到哪个邮箱？另外能不能把汇率和费用单价在账单备注里写清楚，方便我们财务对账。
email,第一次从厦门口岸出口，想确认下报关需要的全套资料：我们准备了装箱单、商业发票和报关草单，报关委托书是电子的还是要纸质盖章？HS编码5812.43，麻烦帮忙确认归类有没有问题。
email,这票EMCS710900200的海关查验费和滞港费，是因为申报要素不完整导致的，这个费用应该我们出还是货代出？另外帮忙看看能不能申请快速放行。
email,您好，我们的货在悉尼海关布控查验了，提单号HLCU7549766493，说是申报品名和实际货物可能不符，现在被扣货了。请问查验一般要多久？需要我们补充什么资料？客户催得非常急。
wechat,提单号COSU6908938880的货到温哥华港了，但是船公司说目的港拥堵要排队卸船，客户问还要等多久，这个延误证明能不能开一份给我们向客户交代？
wechat,客户来电催件：EMCS8454542654这票货说好上周五到汉堡，到现在还没消息，收货人一天三个电话催我们，请今天下班前给个准确答复。
email,麻烦帮我改单：提单号OOLU7643865915，目的港收货人公司名称打错了一个字母，需要把提单上的收货人更正过来，费用我们承担，今天能改好吗？
wechat,客户来电催件：OOLU8748665968这票货说好上周五到釜山，到现在还没消息，收货人一天三个电话催我们，请今天下班前给个准确答复。
phone,对账发现我们6月份一共付了两次HLCU2467665472的运费，金额都是USD2350，请核实是重复收款还是两笔不同费用，多收的部分请安排退款。
wechat,问下CBHU5006492这个柜子还柜了吗？系统显示租箱公司还在计费，如果已经还场请把还柜单发我一份。
